Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"13 901,08"
10/04/2025,10/04/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25100ZXWLY\BNK,,"300 000,00","313 901,08"
10/04/2025,09/04/2025,Frais de virement FT25100ZRK5Y\BNK,"5 000,00",,"308 901,08"
10/04/2025,09/04/2025,TVA FT25100ZRK5Y\BNK,"1 000,00",,"307 901,08"
10/04/2025,09/04/2025,Prelevement automatic -DR DD INTERMEDIATARY FT25100ZRK5Y\BNK TELMA S.A,"249 000,00",,"58 901,08"
14/04/2025,14/04/2025,Transfer Bank to Wallet MVOLA WALLET FT25104TTDTT\BNK Mvola Bank to Wallet,"50 000,00",,"8 901,08"
16/04/2025,16/04/2025,Transfer Wallet to Bank Mvola Wallet to Bank,,"180 000,00","188 901,08"
16/04/2025,16/04/2025,FT2510626TBX\BNK JUICE Virement autre banque locale LYCEE FRANCAIS DE TANANARIVE FT251064ZGW1\BNK ANTSIRABE EPFB CE2A RAZEFARSON MIRA,"170 000,00",,"18 901,08"
22/04/2025,22/04/2025,Transfer Wallet to Bank Mvola Wallet to Bank,,"250 000,00","268 901,08"
22/04/2025,22/04/2025,FT25112ZV3GN\BNK DB vente carte etrangere 312860 FT25112WD8HL\BNK OPENAI CHATGPT SUBSCR,"93 345,30",,"175 555,78"
24/04/2025,24/04/2025,DB vente carte etrangere 232660 FT2511412SDQ\BNK WWW CONTABO COM,"95 498,78",,"80 057,00"
28/04/2025,28/04/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25118RZNQC\BNK,,"100 000,00","180 057,00"
28/04/2025,28/04/2025,DB vente carte etrangere 783420 FT25118BY08K\BNK UX PILOT AI,"133 997,26",,"46 059,74"
28/04/2025,28/04/2025,Transfer Bank to Wallet MVOLA WALLET FT251181ZLXY\BNK Mvola Bank to Wallet,"30 000,00",,"16 059,74"
30/04/2025,01/05/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250430,"2 000,00",,"14 059,74"
30/04/2025,01/05/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250430,"10 000,00",,"4 059,74"
,,Solde Encours,,,"4 059,74"
