Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"1 182 060,12"
01/08/2025,01/08/2025,DB vente carte etrangere 346880 FT252139VSM9\BNK XAI LLC,"137 357,14",,"1 044 702,98"
01/08/2025,01/08/2025,DB vente carte etrangere 408390 FT25213W4DJ2\BNK NAME-CHEAP.COM,"250 264,71",,"794 438,27"
04/08/2025,04/08/2025,MV3O0J DB vente carte confrere 419700 FT25216ZQTY1\BNK STATION JOVENA TATSINAN,"16 384,00",,"778 054,27"
04/08/2025,04/08/2025,DB vente carte confrere 420240 FT25216JD7F1\BNK STATION JOVENA TATSINAN,"16 384,00",,"761 670,27"
04/08/2025,04/08/2025,DB vente carte confrere REV FT252162592P\BNK 420450 STATION,,"16 384,00","778 054,27"
04/08/2025,04/08/2025,JOVENA TATSINAN Retrait sur GAB confrere 434900 FT25216DQRMW\BNK BOAMGXB-GAB-3- EXT SAINT,"200 000,00",,"578 054,27"
06/08/2025,05/08/2025,Frais de virement FT25218JQR0K\BNK,"5 000,00",,"573 054,27"
06/08/2025,05/08/2025,TVA,"1 000,00",,"572 054,27"
06/08/2025,05/08/2025,Prelevement automatic -DR DD INTERMEDIATARY FT25218JQR0K\BNK TELMA S.A F2508424823,"249 000,00",,"323 054,27"
11/08/2025,11/08/2025,Retrait sur GAB confrere 482530 FT2522369PDT\BNK BNI BNI AMPASAMPITO,"120 000,00",,"203 054,27"
11/08/2025,11/08/2025,Frais de virement FT25223K4S55\BNK,"510,00",,"202 544,27"
11/08/2025,11/08/2025,TVA,"102,00",,"202 442,27"
11/08/2025,11/08/2025,FT25223K4S55\BNK Transfer Bank to Wallet MVOLA WALLET FT25223K4S55\BNK Mvola Bank to Wallet,"102 000,00",,"100 442,27"
13/08/2025,13/08/2025,DB vente carte etrangere 453100 FT25225T5R37\BNK NAME-CHEAP.COM 5CFLH8,"35 120,50",,"65 321,77"
18/08/2025,18/08/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25230FDT9D\BNK,,"900 000,00","965 321,77"
19/08/2025,19/08/2025,Transfer Bank to Wallet MVOLA WALLET FT252317ND32\BNK Mvola Bank to Wallet,"15 000,00",,"950 321,77"
19/08/2025,19/08/2025,DB vente carte etrangere 713100 FT252310LYRF\BNK GPL HUB GPL HUB,"360 749,79",,"589 571,98"
19/08/2025,19/08/2025,DB vente carte etrangere 715920 FT252310QXYM\BNK GPL HUB GPL HUB,"54 158,13",,"535 413,85"
20/08/2025,20/08/2025,DB vente carte etrangere 836980 FT25232JQTXN\BNK PADDLE.NET SETAPP,"45 618,86",,"489 794,99"
21/08/2025,21/08/2025,DB vente carte etrangere 241620 FT25233GRKMG\BNK WWW CONTABO COM,"90 655,66",,"399 139,33"
22/08/2025,22/08/2025,DB vente carte etrangere 378680 FT252342WG88\BNK GENSPARK.AI,"114 360,55",,"284 778,78"
22/08/2025,22/08/2025,DB vente carte etrangere 400560 FT25234BKLNN\BNK NAME-CHEAP.COM YEJ2I5,"52 535,38",,"232 243,40"
25/08/2025,25/08/2025,DB vente carte confrere 478190 FT25237WCNVR\BNK SMAKI SM09TANA,"10 000,00",,"222 243,40"
25/08/2025,25/08/2025,Transfer Bank to Wallet MVOLA WALLET FT25237WHLLV\BNK Mvola Bank to Wallet,"50 000,00",,"172 243,40"
25/08/2025,25/08/2025,DB vente carte confrere 481690 FT25237F6M7N\BNK SMAKI SM09TANA,"7 750,00",,"164 493,40"
27/08/2025,27/08/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25239JFQHJ\BNK,,"100 000,00","264 493,40"
29/08/2025,01/09/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250831,"2 000,00",,"262 493,40"
29/08/2025,01/09/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250831,"10 000,00",,"252 493,40"
,,Solde Encours,,,"252 493,40"
