Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"187 204,18"
02/12/2024,02/12/2024,Transfer Bank to Wallet MVOLA WALLET FT24337LN5Y3\BNK Mvola Bank to Wallet,"50 000,00",,"137 204,18"
02/12/2024,02/12/2024,DB vente carte etrangere 278990 FT24337V1X2C\BNK CONTABO/COM,"60 174,79",,"77 029,39"
02/12/2024,02/12/2024,Retrait sur GAB confrere 291640 FT2433750GWD\BNK SGMADA Mahazo,"50 000,00",,"27 029,39"
06/12/2024,06/12/2024,Virement recus Banque Confrere RIAKE FT24341Q3152\BNK Reste Paiement Mrway,,"300 000,00","327 029,39"
09/12/2024,09/12/2024,Transfer Bank to Wallet MVOLA WALLET FT24344G4W3V\BNK Mvola Bank to Wallet,"5 000,00",,"322 029,39"
09/12/2024,09/12/2024,Retrait sur GAB confrere 438400 FT243449XYN9\BNK SGMADA Agence MAHAZO-An,"50 000,00",,"272 029,39"
10/12/2024,09/12/2024,Frais de virement FT24345T4WPL\BNK,"5 000,00",,"267 029,39"
10/12/2024,09/12/2024,TVA,"1 000,00",,"266 029,39"
10/12/2024,09/12/2024,FT24345T4WPL\BNK Prelevement automatic -DR DD INTERMEDIATARY FT24345T4WPL\BNK TELMA S.A,"249 000,00",,"17 029,39"
10/12/2024,10/12/2024,F2412340559 Retrait sur GAB confrere 723980 FT24345G7V6Q\BNK BNI BNI AMPASAMPITO,"10 000,00",,"7 029,39"
26/12/2024,26/12/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24361QZC1Q\BNK,,"70 000,00","77 029,39"
26/12/2024,26/12/2024,DB vente carte etrangere 270080 FT24361R7Y7J\BNK CONTABOCOM,"67 602,62",,"9 426,77"
30/12/2024,30/12/2024,Transfer Wallet to Bank Mvola Wallet to Bank FT24365ZB9GB\BNK,,"350 000,00","359 426,77"
30/12/2024,30/12/2024,Retrait sur GAB confrere 709440 FT24365SQ4MB\BNK BMOI GAB 20 TANTOMBATO,"350 000,00",,"9 426,77"
30/12/2024,30/12/2024,Virement recus Banque Confrere RIAKE FT24365S44NT\BNK Paiement Meristheme,,"500 000,00","509 426,77"
31/12/2024,31/12/2024,Retrait sur GAB confrere 351640 FT2436659K4H\BNK SGMADA Agence MAHAZO,"100 000,00",,"409 426,77"
31/12/2024,01/01/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20241231,"2 000,00",,"407 426,77"
31/12/2024,01/01/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20241231 Solde Encours,"10 000,00",,"397 426,77 397 426,77"
