Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"855 601,35"
01/10/2025,01/10/2025,DB vente carte etrangere 769970 FT252749TXN6\BNK CLOUDFLARE,"24 609,08",,"830 992,27"
02/10/2025,02/10/2025,Transfer Bank to Wallet MVOLA WALLET FT252751KNP5\BNK Mvola Bank to Wallet,"20 000,00",,"810 992,27"
03/10/2025,03/10/2025,Retrait sur GAB confrere 588260 FT25276G86C0\BNK SGMADA Agence MAHAZO,"400 000,00",,"410 992,27"
06/10/2025,06/10/2025,DB vente carte confrere 420230 FT252790RZ00\BNK SHOP LIANTSOA,"51 700,00",,"359 292,27"
07/10/2025,06/10/2025,Frais de virement FT252800R2YL\BNK,"5 000,00",,"354 292,27"
07/10/2025,06/10/2025,TVA,"1 000,00",,"353 292,27"
07/10/2025,06/10/2025,FT252800R2YL\BNK Prelevement automatic -DR DD INTERMEDIATARY FT252800R2YL\BNK TELMA S A,"249 000,00",,"104 292,27"
07/10/2025,07/10/2025,F2510765810 Transfer Bank to Wallet MVOLA WALLET FT252800MF5M\BNK Mvola Bank to Wallet,"7 000,00",,"97 292,27"
09/10/2025,09/10/2025,Retrait sur GAB confrere 595800 FT25282CVFGW\BNK BNI BNI AMBONDRONA,"20 000,00",,"77 292,27"
13/10/2025,13/10/2025,DB vente carte confrere 489960 FT25286Y629J\BNK STATION SHELL RAVINALA,"17 255,00",,"60 037,27"
14/10/2025,14/10/2025,Virement recus Banque Confrere RIAKE FT25287NGS5M\BNK Paiement Egs,,"240 000,00","300 037,27"
15/10/2025,15/10/2025,Retrait sur GAB confrere 205980 FT25288GQWXY\BNK SGMADA Agence MAHAZO,"200 000,00",,"100 037,27"
16/10/2025,16/10/2025,Transfer Bank to Wallet MVOLA WALLET FT25289HN2XD\BNK Mvola Bank to Wallet,"40 000,00",,"60 037,27"
16/10/2025,16/10/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT252897B59L\BNK,,"150 000,00","210 037,27"
17/10/2025,17/10/2025,Retrait sur GAB confrere 748180 FT252905RJ93\BNK SGMADA Agence,"50 000,00",,"160 037,27"
20/10/2025,20/10/2025,MAHAZO Retrait sur GAB confrere 463200 FT25293MRH4F\BNK SGMADA Mahazo 2,"50 000,00",,"110 037,27"
20/10/2025,20/10/2025,Retrait sur GAB confrere 572880 FT25293S5X2V\BNK SGMADA Agence,"50 000,00",,"60 037,27"
20/10/2025,20/10/2025,MAHAZO-An DB vente carte etrangere 695540 FT25293H385B\BNK PADDLE.NET SETAPP,"46 359,61",,"13 677,66"
22/10/2025,22/10/2025,Virement recus Banque Confrere RIAKE FT25295R7T21\BNK Fenohery,,"500 000,00","513 677,66"
22/10/2025,22/10/2025,Retrait sur GAB confrere 668050 FT25295TRT8Z\BNK SGMADA Agence MAHAZO-An,"200 000,00",,"313 677,66"
23/10/2025,23/10/2025,DB vente carte etrangere 235450 FT2529644CWB\BNK WWW CONTABO COM,"92 203,42",,"221 474,24"
27/10/2025,27/10/2025,Retrait sur GAB confrere 702150 FT25300Y1QYT\BNK SGMADA Agence MAHAZO,"50 000,00",,"171 474,24"
30/10/2025,30/10/2025,DB vente carte etrangere 468800 FT253039VKJV\BNK CLOUDFLARE,"23 180,24",,"148 294,00"
31/10/2025,01/11/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20251031,"2 000,00",,"146 294,00"
31/10/2025,01/11/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20251031,"10 000,00",,"136 294,00"
,,Solde Encours,,,"136 294,00"
