Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"252 493,40"
01/09/2025,01/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25244VTW1C\BNK Mvola Bank to Wallet,"51 000,00",,"201 493,40"
01/09/2025,01/09/2025,DB vente carte confrere 436230 FT252444FJHF\BNK JOVENA ANDRANOBEVAVA BO,"67 900,00",,"133 593,40"
01/09/2025,01/09/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25244NHDS6\BNK,,"165 000,00","298 593,40"
01/09/2025,01/09/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25244Z1KY8\BNK,,"110 000,00","408 593,40"
03/09/2025,03/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25246NHJRF\BNK Mvola Bank to Wallet,"5 000,00",,"403 593,40"
03/09/2025,03/09/2025,DB vente carte confrere 673570 FT25246HR9H0\BNK STATION JOVENA TATSINAN,"21 582,00",,"382 011,40"
04/09/2025,04/09/2025,Virement recus Banque Confrere RIAKE FT25247ZXHN2\BNK Paiement Inesys,,"2 100 000,00","2 482 011,40"
04/09/2025,04/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25247VD6SD\BNK Mvola Bank to Wallet,"40 000,00",,"2 442 011,40"
04/09/2025,04/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252477ZGP2\BNK Mvola Bank to Wallet,"10 000,00",,"2 432 011,40"
05/09/2025,05/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25248T4W5B\BNK Mvola Bank to Wallet,"50 000,00",,"2 382 011,40"
05/09/2025,05/09/2025,Transfer Bank to Wallet MVOLA WALLET FT2524866NTZ\BNK Mvola Bank to Wallet,"50 000,00",,"2 332 011,40"
08/09/2025,05/09/2025,Frais de virement FT25251KYMK9\BNK,"5 000,00",,"2 327 011,40"
08/09/2025,05/09/2025,TVA,"1 000,00",,"2 326 011,40"
08/09/2025,05/09/2025,FT25251KYMK9\BNK Prelevement automatic -DR DD INTERMEDIATARY FT25251KYMK9\BNK TELMA S.A F2509591013,"249 000,00",,"2 077 011,40"
08/09/2025,08/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25251XJ760\BNK Mvola Bank to Wallet,"15 000,00",,"2 062 011,40"
08/09/2025,08/09/2025,DB vente carte etrangere 819500 FT25251KZ450\BNK LIVINFRANCE,"1 067 119,68",,"994 891,72"
08/09/2025,08/09/2025,Frais de virement FT25251YXYVF\BNK,"550,00",,"994 341,72"
08/09/2025,08/09/2025,TVA FT25251YXYVF\BNK,"110,00",,"994 231,72"
08/09/2025,08/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25251YXYVF\BNK Mvola Bank to Wallet,"110 000,00",,"884 231,72"
08/09/2025,08/09/2025,Virement recus Banque Confrere RANAIVOSOA MAMYNIRINA LIANTSO FT252514ZG63\BNK Angola,,"1 040 000,00","1 924 231,72"
09/09/2025,09/09/2025,DB vente carte etrangere 294230 FT25252H1VYK\BNK NAME-CHEAP.COM FJW9MB,"43 117,58",,"1 881 114,14"
10/09/2025,10/09/2025,Retrait sur GAB confrere 665580 FT25253B0Z7K\BNK BNI BNI AMPASAMPITO,"200 000,00",,"1 681 114,14"
15/09/2025,15/09/2025,Retrait sur GAB confrere 753240 FT252581KGZ9\BNK BNI BNI ANTSAKAVIRO,"150 000,00",,"1 531 114,14"
15/09/2025,15/09/2025,DB vente carte confrere 463080 FT252581HJNS\BNK STATION JOVENA TATSINAN,"18 528,00",,"1 512 586,14"
15/09/2025,15/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252583V056\BNK Mvola Bank to Wallet,"10 000,00",,"1 502 586,14"
15/09/2025,15/09/2025,DB vente carte etrangere 538170 FT25258TFMW3\BNK X CORP. PAID FEATURES,"220 221,74",,"1 282 364,40"
15/09/2025,15/09/2025,Retrait sur GAB confrere 616070 FT25258QV8F0\BNK SGMADA Agence MAHAZO,"500 000,00",,"782 364,40"
16/09/2025,16/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252598DDNX\BNK Mvola Bank to Wallet,"50 000,00",,"732 364,40"
16/09/2025,16/09/2025,Virement recus Banque Confrere RIAKE FT252590KD25\BNK Meristheme,,"750 000,00","1 482 364,40"
16/09/2025,16/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25259FWGK0\BNK Mvola Bank to Wallet,"50 000,00",,"1 432 364,40"
17/09/2025,17/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25260BXPYX\BNK Mvola Bank to Wallet,"50 000,00",,"1 382 364,40"
18/09/2025,18/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252610NNQX\BNK Mvola Bank to Wallet,"50 000,00",,"1 332 364,40"
18/09/2025,18/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252618F2TC\BNK Mvola Bank to Wallet,"5 000,00",,"1 327 364,40"
19/09/2025,19/09/2025,DB vente carte etrangere 553090 FT252624N6SL\BNK STRIPE-Z.AI,"164 802,93",,"1 162 561,47"
19/09/2025,19/09/2025,Retrait sur GAB confrere 694560 FT25262NQ7MV\BNK SGMADA,"40 000,00",,"1 122 561,47"
19/09/2025,19/09/2025,Mahazo 2 DB vente carte etrangere 700050 FT2526203W8D\BNK PADDLE.NET SETAPP,"45 732,81",,"1 076 828,66"
22/09/2025,22/09/2025,Transfer Bank to Wallet MVOLA WALLET FT252654T75M\BNK Mvola Bank to Wallet,"50 000,00",,"1 026 828,66"
22/09/2025,22/09/2025,DB vente carte etrangere 240500 FT252655MG7C\BNK WWW CONTABO COM,"90 922,41",,"935 906,25"
22/09/2025,22/09/2025,Retrait sur GAB confrere 441120 FT25265M2S0S\BNK SGMADA AGENCE BY PASS--,"50 000,00",,"885 906,25"
22/09/2025,22/09/2025,Transfer Bank to Wallet MVOLA WALLET FT25265P69YS\BNK Mvola Bank to Wallet,"50 000,00",,"835 906,25"
25/09/2025,25/09/2025,Retrait sur GAB confrere 730270 FT25268YW1Z4\BNK BNI BNI AMPASAMPITO,"50 000,00",,"785 906,25"
