Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"3 413,05"
10/06/2025,10/06/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25161SVQBK\BNK,,"290 000,00","293 413,05"
10/06/2025,10/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25161RX2T1\BNK Mvola Bank to Wallet,"30 000,00",,"263 413,05"
10/06/2025,05/06/2025,Frais de virement FT25161RL632\BNK,"5 000,00",,"258 413,05"
10/06/2025,05/06/2025,TVA,"1 000,00",,"257 413,05"
10/06/2025,05/06/2025,FT25161RL632\BNK Prelevement automatic -DR DD INTERMEDIATARY FT25161RL632\BNK TELMA S.A F2506126524,"249 000,00",,"8 413,05"
11/06/2025,11/06/2025,Virement recus Banque Confrere RIAKE FT25162W55ZX\BNK MEristheme,,"750 000,00","758 413,05"
11/06/2025,11/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25162X312C\BNK Mvola Bank to Wallet,"58 000,00",,"700 413,05"
12/06/2025,12/06/2025,Frais de virement FT25163M6NLM\BNK,"1 700,00",,"698 713,05"
12/06/2025,12/06/2025,TVA FT25163M6NLM\BNK,"340,00",,"698 373,05"
12/06/2025,12/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25163M6NLM\BNK Mvola Bank to,"340 000,00",,"358 373,05"
13/06/2025,13/06/2025,Wallet DB vente carte etrangere 055790 FT251643L215\BNK TERABOX,"9 155,47",,"349 217,58"
13/06/2025,13/06/2025,DB vente carte etrangere 602900 FT25164N034D\BNK tenorshare,"77 752,52",,"271 465,06"
16/06/2025,16/06/2025,DB vente carte confrere 667160 FT25167YSS0P\BNK ULYS,"69 055,00",,"202 410,06"
18/06/2025,18/06/2025,Retrait sur GAB confrere 652090 FT25169NH44S\BNK SGMADA,"100 000,00",,"102 410,06"
20/06/2025,20/06/2025,Antsakaviro DB vente carte etrangere 742890 FT25171TGC5W\BNK PADDLE.NET SETAPP,"45 961,40",,"56 448,66"
23/06/2025,23/06/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT251746M7H2\BNK,,"61 000,00","117 448,66"
23/06/2025,23/06/2025,DB vente carte etrangere 234770 FT251748TVJ4\BNK WWW CONTABO COM,"91 232,68",,"26 215,98"
24/06/2025,24/06/2025,Virement recus Banque Confrere RIAKE FT251757RTNP\BNK Paiement Tanatech Acpt,,"800 000,00","826 215,98"
24/06/2025,24/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25175KZ7M3\BNK Mvola Bank to Wallet,"5 000,00",,"821 215,98"
25/06/2025,25/06/2025,Frais de virement FT251767M61S\BNK,"1 625,00",,"819 590,98"
25/06/2025,25/06/2025,TVA FT251767M61S\BNK,"325,00",,"819 265,98"
25/06/2025,25/06/2025,Transfer Bank to Wallet MVOLA WALLET FT251767M61S\BNK Mvola Bank to Wallet,"325 000,00",,"494 265,98"
25/06/2025,25/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25176LF555\BNK Mvola Bank to Wallet,"60 000,00",,"434 265,98"
25/06/2025,25/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25176PYW7T\BNK Mvola Bank to Wallet,"40 000,00",,"394 265,98"
27/06/2025,27/06/2025,Transfer Bank to Wallet MVOLA WALLET FT25178GTYD2\BNK Mvola Bank to Wallet,"85 000,00",,"309 265,98"
27/06/2025,27/06/2025,Retrait sur GAB confrere 501280 FT251786H3HN\BNK SGMADA Mahazo,"40 000,00",,"269 265,98"
30/06/2025,30/06/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25181THN1H\BNK,,"100 000,00","369 265,98"
30/06/2025,30/06/2025,DB vente carte etrangere 054080 FT251818KZC2\BNK PAYPAL,"4 600,74",,"364 665,24"
30/06/2025,30/06/2025,DB vente carte etrangere REV FT25181S0MYL\BNK 054130 PAYPAL,,"4 600,74","369 265,98"
30/06/2025,30/06/2025,DB vente carte etrangere 054320 FT25181YRQCQ\BNK PAYPAL INFOMANIAK,"362 254,80",,"7 011,18"
30/06/2025,01/07/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250630,"2 000,00",,"5 011,18"
30/06/2025,01/07/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250630,"10 000,00",,"-4 988,82"
,,Solde Encours,,,"-4 988,82"
