Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"-4 988,82"
01/07/2025,01/07/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT2518293NQV\BNK,,"350 000,00","345 011,18"
01/07/2025,01/07/2025,Retrait sur GAB confrere 541840 FT25182CPL6L\BNK BNI BNI AMBOHIPO,"30 000,00",,"315 011,18"
01/07/2025,01/07/2025,Retrait sur GAB confrere 624870 FT25182PSP59\BNK BNI BNIANALAMAHITSY,"125 000,00",,"190 011,18"
01/07/2025,01/07/2025,Retrait sur GAB confrere 707990 FT2518249JTK\BNK SGMADA Agence MAHAZO,"50 000,00",,"140 011,18"
03/07/2025,03/07/2025,Transfer Bank to Wallet MVOLA WALLET FT25184F6DJP\BNK Mvola Bank to Wallet,"40 000,00",,"100 011,18"
03/07/2025,03/07/2025,Retrait sur GAB confrere 629440 FT251847CMY6\BNK SGMADA Mahazo,"100 000,00",,"11,18"
04/07/2025,04/07/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT251857Y2CN\BNK,,"300 000,00","300 011,18"
07/07/2025,04/07/2025,Frais de virement FT25188LDC08\BNK,"5 000,00",,"295 011,18"
07/07/2025,04/07/2025,TVA,"1 000,00",,"294 011,18"
07/07/2025,04/07/2025,FT25188LDC08\BNK Prelevement automatic -DR DD INTERMEDIATARY FT25188LDC08\BNK TELMA S.A F2507265566,"249 000,00",,"45 011,18"
07/07/2025,07/07/2025,Retrait sur GAB confrere 702310,"40 000,00",,"5 011,18"
09/07/2025,09/07/2025,FT25188KFLF9\BNK SGMADAAntsakaviro Transfer Wallet to Bank Mvola Wallet to Bank,,"150 000,00","155 011,18"
09/07/2025,09/07/2025,FT251902ZHXH\BNK Retrait sur GAB confrere 244190 FT251905JLNM\BNK SGMADA Agence MAHAZO,"130 000,00",,"25 011,18"
14/07/2025,14/07/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT251959GDQZ\BNK,,"200 000,00","225 011,18"
15/07/2025,15/07/2025,DB vente carte etrangere 024930 FT25196RRZ92\BNK tenorshare,"59 579,59",,"165 431,59"
15/07/2025,15/07/2025,Retrait sur GAB confrere 469010 FT25196QBN53\BNK BNI BNI ANTANIMENA,"50 000,00",,"115 431,59"
17/07/2025,17/07/2025,DB vente carte confrere 306130 FT25198F3ZZK\BNK STATION JOVENNA ANDROND,"30 500,00",,"84 931,59"
21/07/2025,21/07/2025,DB vente carte etrangere 734550 FT25202VHQB7\BNK PADDLE.NET SETAPP,"45 555,65",,"39 375,94"
22/07/2025,22/07/2025,Virement recus Banque Confrere RIAKE FT25203P249C\BNK Mersitheme Juin,,"750 000,00","789 375,94"
23/07/2025,23/07/2025,DB vente carte etrangere 233810 FT252041MF75\BNK WWW CONTABO COM,"90 476,15",,"698 899,79"
23/07/2025,23/07/2025,Retrait sur GAB confrere 372970 FT25204TYQLX\BNK BNI BNI AMBONDRONA,"100 000,00",,"598 899,79"
23/07/2025,23/07/2025,Virement en lot MCB -S THE MAURITIUS COMMERCIAL BANK FT252040RNJJ\BNK MCB MADA CASH,,"17 160,33","616 060,12"
23/07/2025,23/07/2025,BACK 260625 DB vente carte confrere 658480 FT252044S9LW\BNK SOCIETE LIANTSOA,"97 000,00",,"519 060,12"
24/07/2025,24/07/2025,Retrait sur GAB confrere 406780 FT25205ZZKLG\BNK SGMADA Agence MAHAZO,"350 000,00",,"169 060,12"
28/07/2025,28/07/2025,Retrait sur GAB confrere 471490 FT252096HW8F\BNK SGMADA Agence MAHAZO,"50 000,00",,"119 060,12"
31/07/2025,31/07/2025,Virement recus Banque Confrere RIAKE FT25212KFM5Z\BNK Paiement Reste Tanatech,,"1 075 000,00","1 194 060,12"
31/07/2025,01/08/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250731,"2 000,00",,"1 192 060,12"
31/07/2025,01/08/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250731,"10 000,00",,"1 182 060,12"
,,Solde Encours,,,"1 182 060,12"
