Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"397 426,77"
02/01/2025,02/01/2025,DB vente carte etrangere 277770 FT250025XM76\BNK CONTABO-COM,"60 388,74",,"337 038,03"
07/01/2025,07/01/2025,DB vente carte etrangere 693930 FT250070W0JR\BNK SQSP INV164379181,"72 594,28",,"264 443,75"
10/01/2025,09/01/2025,Frais de virement FT250108QPZ1\BNK,"5 000,00",,"259 443,75"
10/01/2025,09/01/2025,TVA,"1 000,00",,"258 443,75"
10/01/2025,09/01/2025,FT250108QPZ1\BNK Prelevement automatic -DR DD INTERMEDIATARY FT250108QPZ1\BNK TELMA S.A F2501459538,"249 000,00",,"9 443,75"
20/01/2025,20/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25020HRSJW\BNK,,"185 000,00","194 443,75"
20/01/2025,20/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25020LS9NK\BNK,,"5 000,00","199 443,75"
21/01/2025,21/01/2025,DB vente carte etrangere 278910 FT25021499ZH\BNK WWW CONTABO COM,"67 493,38",,"131 950,37"
21/01/2025,21/01/2025,Transfer Wallet to Bank Mvola Wallet to Bank FT25021NYDKK\BNK,,"100 000,00","231 950,37"
22/01/2025,22/01/2025,DB vente carte etrangere 273970 FT25022VBPCX\BNK CONTABO/COM,"185 728,14",,"46 222,23"
31/01/2025,31/01/2025,Transfert compte a compte RefundWWW- CONTABO-COM FT25031VC781\B99 RefundWWW-,,"174 454,72","220 676,95"
31/01/2025,31/01/2025,CONTAB RefundWWW-CONTAB Transfer Bank to Wallet MVOLA WALLET FT25031Q52WY\BNK Mvola Bank to,"50 000,00",,"170 676,95"
31/01/2025,01/02/2025,Wallet TVA 1079646.FRAIS.TENUE.COMPTE.MGA10,"2 000,00",,"168 676,95"
31/01/2025,01/02/2025,000.20250131 Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250131,"10 000,00",,"158 676,95"
,,Solde Encours,,,"158 676,95"
