Date de l'opØration,Date de valeur,DØtails de la transaction,DØbit,CrØdit,Solde (-)Indique un dØbit
,,Solde PrØcØdent,,,"158 676,95"
03/02/2025,03/02/2025,DB vente carte etrangere 276950 FT25034MDVRD\BNK WWW CONTABO- COM,"60 128,15",,"98 548,80"
03/02/2025,03/02/2025,Transfer Bank to Wallet MVOLA WALLET FT25034GWWF7\BNK Mvola Bank to Wallet,"27 000,00",,"71 548,80"
03/02/2025,03/02/2025,Transfer Bank to Wallet MVOLA WALLET FT25034Z2VKN\BNK Mvola Bank to Wallet,"5 000,00",,"66 548,80"
03/02/2025,03/02/2025,Transfer Bank to Wallet MVOLA WALLET FT25034GK7KM\BNK Mvola Bank to Wallet,"5 000,00",,"61 548,80"
03/02/2025,03/02/2025,Transfer Bank to Wallet MVOLA WALLET FT25034Z104Q\BNK Mvola Bank to Wallet,"10 000,00",,"51 548,80"
03/02/2025,04/02/2025,Remise de cheque MCB EntrØe consolidØe REMISE-3071712,,"3 000 000,00","3 051 548,80"
04/02/2025,04/02/2025,DB vente carte etrangere 032960 FT250350LZQW\BNK WWW-CONTABO COM,"21 646,13",,"3 029 902,67"
04/02/2025,04/02/2025,Retrait sur GAB confrere 662910 FT25035JNGVG\BNK SGMADA Mahazo,"100 000,00",,"2 929 902,67"
05/02/2025,05/02/2025,DB vente carte etrangere 289840 FT25036MWQ4B\BNK WWW CONTABO-,"55 709,86",,"2 874 192,81"
05/02/2025,05/02/2025,COM Retrait sur GAB confrere 503110 FT2503614QCY\BNK SGMADA Agence MAHAZO,"800 000,00",,"2 074 192,81"
05/02/2025,05/02/2025,Retrait sur GAB confrere 503790 FT250369JZGP\BNK SGMADA Agence MAHAZO,"800 000,00",,"1 274 192,81"
10/02/2025,07/02/2025,Frais de virement FT250419P19L\BNK,"5 000,00",,"1 269 192,81"
10/02/2025,07/02/2025,TVA,"1 000,00",,"1 268 192,81"
10/02/2025,07/02/2025,FT250419P19L\BNK Prelevement automatic -DR DD INTERMEDIATARY FT250419P19L\BNK TELMA S.A,"249 000,00",,"1 019 192,81"
10/02/2025,10/02/2025,Retrait sur GAB confrere 407150 FT25041JLN9K\BNK SGMADA Agence MAHAZO-An,"50 000,00",,"969 192,81"
12/02/2025,12/02/2025,Retrait sur GAB confrere 464450 FT25043MYK29\BNK BOAMGXB-GAB-3- MAHAZO,"20 000,00",,"949 192,81"
12/02/2025,12/02/2025,Virement en lot MCB -S THE MAURITIUS COMMERCIAL BANK FT2504379GB1\BNK MCB MADA CASH BACK 2024,,"4 247,47","953 440,28"
17/02/2025,17/02/2025,Transfer Bank to Wallet MVOLA WALLET FT25048731S2\BNK Mvola Bank to Wallet,"11 000,00",,"942 440,28"
17/02/2025,17/02/2025,DB vente carte confrere 405850 FT250485T6DJ\BNK SOCIETE LIANTSOA,"24 800,00",,"917 640,28"
21/02/2025,21/02/2025,DB vente carte confrere 736690 FT25052DBC3C\BNK JOVENA ANDRANOBEVAVA BO,"18 800,00",,"898 840,28"
21/02/2025,21/02/2025,DB vente carte etrangere 277860 FT250525K2DV\BNK WWW-CONTABO- COM,"67 735,77",,"831 104,51"
21/02/2025,21/02/2025,Retrait sur GAB confrere 473180 FT250527ZPQ5\BNK SGMADA Mahazo 2,"50 000,00",,"781 104,51"
24/02/2025,24/02/2025,DB vente carte etrangere 502810 FT25055Y454D\BNK APPLE.COM/BILL,"33 831,91",,"747 272,60"
25/02/2025,25/02/2025,DB vente carte confrere 639280 FT25056YQSNQ\BNK SOCIETE LIANTSOA,"105 300,00",,"641 972,60"
26/02/2025,26/02/2025,DB vente carte confrere 419220 FT250577BQNX\BNK SOCIETE LIANTSOA,"22 000,00",,"619 972,60"
26/02/2025,26/02/2025,Retrait sur GAB confrere 538390 FT250571VK4C\BNK SGMADA Mahazo,"60 000,00",,"559 972,60"
28/02/2025,01/03/2025,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250228,"2 000,00",,"557 972,60"
28/02/2025,01/03/2025,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20250228,"10 000,00",,"547 972,60"
,,Solde Encours,,,"547 972,60"
